Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ATP-binding cassette subfamily G member 4-like isoform X2 [Schistocerca gregaria],Schistocerca gregaria,439,439,96%,3e-146,74.65,714,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049835450.1?report=genbank&log$=prottop&blast_rank=94&RID=23U6MCEG016"",""XP_049835450.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Nasonia vitripennis],Nasonia vitripennis,438,438,98%,3e-146,74.74,698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008204842.1?report=genbank&log$=prottop&blast_rank=95&RID=23U6MCEG016"",""XP_008204842.1"")"
ATP-binding cassette sub-family G member 4-like isoform X2 [Planococcus citri],Planococcus citri,437,437,98%,4e-146,73.99,683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_065204775.1?report=genbank&log$=prottop&blast_rank=96&RID=23U6MCEG016"",""XP_065204775.1"")"
ATP-binding cassette subfamily G member 4-like isoform X2 [Planococcus citri],Planococcus citri,437,437,98%,4e-146,73.99,691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_065206688.1?report=genbank&log$=prottop&blast_rank=97&RID=23U6MCEG016"",""XP_065206688.1"")"
hypothetical protein TSAR_015580 [Trichomalopsis sarcophagae],Trichomalopsis sarcophagae,437,437,98%,4e-146,74.74,698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OXU25341.1?report=genbank&log$=prottop&blast_rank=98&RID=23U6MCEG016"",""OXU25341.1"")"
ATP-binding cassette subfamily G member 4-like isoform X1 [Schistocerca gregaria],Schistocerca gregaria,439,439,96%,4e-146,74.65,742,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049835449.1?report=genbank&log$=prottop&blast_rank=99&RID=23U6MCEG016"",""XP_049835449.1"")"
ATP-binding cassette subfamily G member 4 isoform X2 [Halyomorpha halys],Halyomorpha halys,437,437,98%,5e-146,73.72,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014291102.1?report=genbank&log$=prottop&blast_rank=100&RID=23U6MCEG016"",""XP_014291102.1"")"



		


